gene_name,gene_id,logfc,p
CD70,ENSG00000125726.11,4.19707905984102,6.5436671283934e-108
RGL1,ENSG00000143344.16,4.19216351464028,1.2929775186273099e-287
PARP15,ENSG00000173200.13,4.19200750109396,6.68426357874267e-39
HHIP-AS1,ENSG00000248890.3,4.19188551162669,0.0022078780385732
RNF213-AS1,ENSG00000263069.6,4.18640166807844,1.2905359488390499e-22
DDX12P,ENSG00000214826.5,4.18633693084464,1.15144108553615e-05
PTCHD3P2,ENSG00000231550.1,4.18072245414675,0.0004209011117883
TDRD7,ENSG00000196116.8,4.16514685518972,0.0
PWP2,ENSG00000241945.8,4.1561078626144,0.0024378747228299
SPATC1,ENSG00000186583.12,4.14789481347453,1.6647597615705e-05
THAP12P3,ENSG00000227972.1,4.14105557880269,0.0020574993274825
MST1P2,ENSG00000186301.8,4.14097878760887,0.0011394261865868
TNFRSF9,ENSG00000049249.9,4.13949557129374,0.0
FCGBP,ENSG00000275395.7,4.13890934788835,2.55356615766769e-16
S100A1,ENSG00000160678.12,4.13579402594371,1.93472484698866e-08
ISG20,ENSG00000172183.16,4.13065218412868,1.4926863791039298e-204
FAM72B,ENSG00000188610.12,4.12269328060182,5.00542898356419e-10
CD69,ENSG00000110848.8,4.11795022812591,1.82811074662589e-05
RPH3AL-AS1,ENSG00000262061.7,4.11520143560841,0.0026919172603179
IFNL1,ENSG00000182393.3,4.11440581935422,0.0011521219632148
Y_RNA,ENSG00000202533.1,4.11351341426798,0.0036954851060158
RTL9,ENSG00000243978.8,4.10933650692308,0.0008133680745313
MYD88,ENSG00000172936.16,4.1087478681439,0.0
RRN3P4,ENSG00000229781.1,4.10710819521968,1.77705263850296e-05
GIMAP8,ENSG00000171115.4,4.10311742042208,8.55071112090699e-282
CALB1,ENSG00000104327.7,4.09566846823828,0.0034566602343626
TMPO-AS1,ENSG00000257167.3,4.08965497696095,4.55324632986918e-08
CD274,ENSG00000120217.14,4.08122217147404,6.4244801177598e-209
CHTF8,ENSG00000168802.14,4.0788659563968,0.0012985267626839
EMP2,ENSG00000213853.10,4.07625414980875,5.83900737691649e-154
NEURL3,ENSG00000163121.10,4.07209953657912,2.50360269870846e-45
LINC00677,ENSG00000259717.1,4.06568683566146,0.0012543379988762
PDE4B,ENSG00000184588.18,4.06554062404495,7.97793846312734e-142
C6orf163,ENSG00000203872.7,4.04952260444231,0.0049050013311726
CDC7,ENSG00000097046.13,4.04663115714071,3.23583031695748e-27
ADCY7,ENSG00000121281.13,4.04322262571338,1.1543128468295e-82
KMO,ENSG00000117009.12,4.03174319042359,1.3664525996895e-53
KIF11,ENSG00000138160.7,4.02559671326934,1.17915575789209e-23
PLEKHG6,ENSG00000008323.16,4.02507247694083,0.0018306854243211
PTGIR,ENSG00000160013.9,4.02427753985911,9.36689648431459e-202
CDCA7,ENSG00000144354.14,4.02129252623558,2.08574756261795e-13
NLRC5,ENSG00000140853.17,4.01943737473873,2.5193294200935403e-247
HNRNPH1P1,ENSG00000220305.1,4.01659371828194,1.36977782556094e-07
LINC01539,ENSG00000267712.6,4.01369128472975,9.829092108665207e-12
IFI16,ENSG00000163565.20,4.01045123695875,0.0
RNF213,ENSG00000173821.20,4.00868063361482,0.0
ACTBP1,ENSG00000229145.1,4.00723477618334,0.0046628090220161
BUB1,ENSG00000169679.15,4.00436859568708,1.55892445485834e-47
