gene_id,MFL01,MFL02,MFL03,MFL04,MFN01,MFN02,MFN03,MFN04
ENSG00000116786.13,4312,4348,3282,3994,3137,3011,3848,3138
ENSG00000237938.5,27,28,24,24,14,20,17,13
ENSG00000162461.8,34,39,27,27,21,16,22,15
ENSG00000162460.7,1,0,0,0,0,0,0,0
ENSG00000162458.13,68,55,43,52,75,77,102,89
ENSG00000224321.1,10,14,1,10,2,2,1,2
ENSG00000233954.6,67,70,58,79,89,69,80,73
ENSG00000178715.8,22,41,29,20,10,15,18,14
ENSG00000179743.4,43,42,26,42,40,51,50,34
ENSG00000065526.12,3431,3136,2794,3384,2368,2576,2992,2824
ENSG00000270620.1,0,0,0,1,0,0,0,0
ENSG00000116809.12,1170,1107,829,1000,569,549,648,614
ENSG00000234607.2,0,0,0,0,1,0,0,0
ENSG00000275503.1,0,0,0,0,0,0,0,0
ENSG00000183888.4,0,0,0,0,0,0,0,0
ENSG00000173641.18,63,57,51,60,93,119,125,109
ENSG00000186510.12,15,14,12,11,15,9,10,13
ENSG00000184908.20,1,0,0,0,0,0,2,1
ENSG00000185519.9,0,0,0,0,0,0,0,0
ENSG00000142627.13,7,9,3,10,1,7,4,2
ENSG00000227959.2,0,1,0,0,0,1,0,0
ENSG00000224621.1,0,1,0,0,0,0,0,0
ENSG00000142632.17,154,137,85,120,78,92,108,87
ENSG00000237276.9,183,160,101,114,3,6,8,1
ENSG00000288398.1,67,45,39,60,74,59,74,70
ENSG00000132881.12,36,38,23,30,29,30,46,37
ENSG00000233929.1,4,4,1,1,4,1,0,2
ENSG00000037637.11,1042,985,765,936,718,733,885,755
ENSG00000055070.17,2560,2484,1919,2362,1831,1897,2249,1902
ENSG00000226457.1,4,6,4,2,0,1,3,1
ENSG00000187144.11,1,1,1,2,1,1,0,2
ENSG00000157191.20,2431,2452,1933,2261,1419,1505,1754,1444
ENSG00000226029.1,13,6,13,8,13,11,16,12
ENSG00000080947.15,24,32,35,41,58,50,55,60
ENSG00000261135.1,2,0,0,0,0,0,0,0
ENSG00000233421.5,0,1,0,0,0,0,0,0
ENSG00000225710.1,0,0,0,1,0,0,0,0
ENSG00000219481.11,137,119,93,143,152,217,246,191
ENSG00000271732.1,2,0,0,0,1,1,2,0
ENSG00000215908.10,427,468,318,418,414,455,509,416
ENSG00000186301.8,22,12,9,9,20,12,16,10
ENSG00000280114.1,1,0,0,0,0,0,0,0
ENSG00000236698.1,14,11,13,23,10,10,14,13
ENSG00000268869.6,0,0,0,0,0,0,0,0
ENSG00000279151.1,0,0,0,0,0,0,0,0
ENSG00000282740.1,0,0,0,0,0,0,0,0
ENSG00000058453.17,169,167,128,169,155,198,214,170
ENSG00000227684.2,0,0,0,1,0,0,0,0
ENSG00000186715.11,12,7,3,8,7,4,11,7
ENSG00000223643.6,0,0,0,0,0,0,0,0
ENSG00000228549.5,0,0,0,0,0,0,1,0
ENSG00000238142.3,8,5,4,7,2,9,17,5
ENSG00000272426.1,0,0,0,0,0,0,1,0
ENSG00000117122.14,0,0,0,0,0,0,0,0
ENSG00000159363.19,193,228,131,199,214,225,289,217
ENSG00000117118.10,1258,1223,938,1073,1244,1214,1506,1267
ENSG00000117115.13,20,31,11,30,33,54,80,40
ENSG00000204362.6,0,0,0,0,0,0,0,0
ENSG00000142623.11,0,0,0,1,0,0,1,0
ENSG00000142619.4,0,0,0,0,0,0,0,0
ENSG00000266634.1,0,0,0,0,0,0,0,0
ENSG00000159339.13,0,0,0,0,0,0,0,0
ENSG00000276747.1,0,1,0,0,0,0,0,0
ENSG00000179051.14,3789,3532,2862,3469,2290,2525,3102,2612
ENSG00000074964.17,1754,1727,1187,1523,261,303,382,298
ENSG00000117148.8,0,2,0,0,0,0,0,0
ENSG00000284653.1,0,0,0,0,0,0,0,0
ENSG00000280222.1,0,0,0,0,0,0,0,0
ENSG00000179023.9,0,0,0,0,0,0,0,0
ENSG00000235282.3,0,2,0,0,0,0,0,0
ENSG00000225478.2,0,0,0,0,0,0,0,0
ENSG00000009709.12,0,0,0,0,0,0,0,0
ENSG00000179002.5,0,0,0,0,0,0,0,0
ENSG00000159423.17,134,132,102,106,123,147,179,142
ENSG00000169991.11,499,462,401,475,352,386,450,380
ENSG00000272084.1,8,6,3,8,8,5,4,9
ENSG00000127481.15,10599,9581,8214,9804,4590,4737,5865,5341
ENSG00000230424.2,7,11,5,0,9,11,14,6
ENSG00000127463.16,1860,1861,1410,1676,1594,1885,2133,1855
ENSG00000053372.5,1310,1072,939,1052,921,953,1112,992
