gene_id,MFL01,MFL02,MFL03,MFL04,MFPA01,MFPA02,MFPA03,MFPA04
ENSG00000233623.2,0,1,0,1,0,0,1,1
ENSG00000201746.1,0,0,0,1,0,0,0,0
ENSG00000054523.19,2431,2068,2099,2178,1104,1050,990,1226
ENSG00000264881.1,0,0,0,0,1,0,0,0
ENSG00000199562.1,0,0,1,0,5,4,8,3
ENSG00000284735.1,4,3,2,5,13,4,10,7
ENSG00000284642.1,14,13,9,8,4,12,5,5
ENSG00000142657.21,9437,9058,7175,8473,12849,11881,12554,13797
ENSG00000271989.1,0,0,0,0,0,1,0,0
ENSG00000251503.8,0,0,0,0,1,0,0,0
ENSG00000175279.22,26,32,20,23,7,4,6,3
ENSG00000241563.4,1,4,1,1,0,0,1,0
ENSG00000160049.12,660,636,497,608,276,226,236,265
ENSG00000142655.13,306,325,252,267,118,117,124,138
ENSG00000287727.1,1,4,5,4,3,1,2,1
ENSG00000243267.3,2,0,0,0,0,0,0,0
ENSG00000130940.15,84,86,62,91,39,42,29,38
ENSG00000272078.1,16,13,13,8,6,4,2,3
ENSG00000225158.2,0,0,0,0,2,2,3,1
ENSG00000175262.14,11,5,9,5,3,4,5,2
ENSG00000215785.2,0,1,0,1,6,2,4,1
ENSG00000120948.19,2786,2836,2357,2601,680,618,710,874
ENSG00000009724.17,47,39,36,38,6,3,8,6
ENSG00000116649.10,1658,1538,1150,1382,1000,888,1032,950
ENSG00000171824.14,1355,1271,1003,1079,428,374,403,461
ENSG00000226849.1,6,1,0,1,1,0,1,1
ENSG00000230337.2,6,3,2,1,0,2,0,1
ENSG00000198793.13,2611,2560,1954,2376,924,842,882,1009
ENSG00000225602.5,0,2,0,0,0,0,0,1
ENSG00000171819.5,2,1,1,0,0,1,1,0
ENSG00000238173.1,0,0,1,2,0,0,1,0
ENSG00000120942.14,499,447,366,471,291,213,248,276
ENSG00000238199.1,3,3,0,1,1,0,4,1
ENSG00000224338.2,0,0,0,0,2,6,9,4
ENSG00000204624.8,2,0,0,3,0,0,0,0
ENSG00000284708.1,0,0,1,0,2,2,2,0
ENSG00000116661.11,1,1,0,0,2,2,5,1
ENSG00000132879.14,278,292,212,222,208,175,185,204
ENSG00000116663.11,670,759,475,569,65,66,56,90
ENSG00000116670.15,491,571,353,444,593,456,600,578
ENSG00000162490.7,7,13,9,15,70,72,87,116
ENSG00000177674.16,294,286,260,292,174,187,194,222
ENSG00000215910.8,0,0,0,0,1,1,1,0
ENSG00000177000.13,479,503,388,513,225,206,229,270
ENSG00000011021.23,444,420,333,403,455,409,472,534
ENSG00000175206.11,1,0,1,2,0,1,0,1
ENSG00000224904.1,1,2,1,0,1,0,1,0
ENSG00000285646.2,4,5,3,6,2,0,4,2
ENSG00000201801.1,1,1,0,0,0,0,0,0
ENSG00000116685.16,900,903,736,858,815,745,876,853
ENSG00000083444.17,2555,2777,2044,2599,2164,2083,2042,2117
ENSG00000287384.1,0,1,0,0,0,0,1,0
ENSG00000116688.18,2857,2708,2113,2673,1363,1362,1386,1427
ENSG00000270914.1,0,0,0,0,1,0,1,1
ENSG00000116691.11,472,475,321,351,175,151,176,164
ENSG00000202461.1,2,4,0,4,0,0,0,0
ENSG00000243539.3,0,1,0,0,0,0,0,1
ENSG00000120949.15,11,3,5,8,4,0,2,3
ENSG00000201135.1,0,0,0,0,2,1,4,4
ENSG00000227875.2,0,0,1,2,0,0,0,0
ENSG00000285604.1,0,0,0,0,1,0,0,0
ENSG00000028137.19,15402,16629,10689,14826,4825,4564,4565,5290
ENSG00000263676.1,0,0,0,1,0,0,0,0
ENSG00000225196.2,0,1,0,0,0,1,1,1
ENSG00000048707.15,1399,1229,1127,1228,235,202,219,250
ENSG00000239149.1,1,1,1,0,0,0,0,0
ENSG00000229484.2,3,4,5,4,1,0,5,1
ENSG00000162496.9,491,549,388,443,271,179,269,279
ENSG00000221340.1,1,1,1,0,0,1,0,1
ENSG00000276830.1,0,0,2,0,0,0,0,0
ENSG00000288927.1,26,27,15,27,14,14,12,20
ENSG00000272482.1,1,0,1,0,0,0,1,2
ENSG00000204518.3,0,0,0,0,0,1,0,0
ENSG00000188984.12,0,0,0,0,0,0,1,0
ENSG00000157330.10,0,0,0,0,3,4,5,4
ENSG00000116726.5,0,0,0,0,0,0,1,0
ENSG00000116721.9,0,0,0,0,0,0,1,0
ENSG00000231103.2,0,0,0,0,1,1,4,1
ENSG00000179172.10,26,25,13,15,17,14,14,16
ENSG00000243073.4,0,0,0,0,0,0,1,0
ENSG00000277058.3,0,4,0,0,0,1,0,1
ENSG00000275774.3,1,1,0,2,1,3,2,0
ENSG00000204505.5,1,0,0,0,2,6,0,1
ENSG00000279169.3,0,1,0,0,0,0,0,0
ENSG00000279804.2,0,0,0,0,0,0,1,0
ENSG00000250894.1,0,0,0,0,0,0,1,0
ENSG00000204501.7,0,0,0,0,0,0,1,0
ENSG00000204481.8,0,0,0,0,0,0,1,0
ENSG00000204480.8,0,0,0,0,0,0,1,0
ENSG00000204479.4,0,0,0,0,3,2,2,1
ENSG00000204478.10,0,0,0,0,0,0,1,0
ENSG00000162494.6,17,13,7,17,1,2,0,2
ENSG00000215909.3,1,0,1,0,0,0,4,2
ENSG00000162493.17,402,378,287,349,104,89,96,128
ENSG00000237445.2,0,2,0,0,0,0,1,0
ENSG00000116731.23,1967,1807,1488,1737,355,348,342,431
ENSG00000289380.1,2,1,2,4,6,5,9,5
ENSG00000189337.17,42,35,32,43,15,18,24,23
ENSG00000231606.2,0,0,0,0,0,1,0,1
ENSG00000234593.3,0,0,0,0,0,0,2,0
ENSG00000235829.1,1,0,0,1,0,0,2,0
ENSG00000287756.1,0,0,0,0,1,4,3,3
ENSG00000175147.13,36,30,39,45,11,13,11,11
ENSG00000171729.14,957,1029,794,939,472,403,457,460
ENSG00000204464.7,2,3,7,7,1,0,1,0
ENSG00000215720.4,2,2,2,5,2,0,1,1
ENSG00000278480.1,7,8,5,6,5,2,1,2
ENSG00000142621.21,17,20,17,24,8,9,13,12
ENSG00000233485.1,0,0,1,0,7,2,3,4
ENSG00000228140.2,4,4,5,2,2,2,4,2
ENSG00000142634.13,4722,4823,3710,4563,1343,1337,1488,1434
ENSG00000162438.12,5,1,6,1,4,2,2,7
ENSG00000142615.8,1,0,0,0,0,0,3,1
ENSG00000215704.10,0,0,2,1,0,0,1,1
ENSG00000132906.18,291,278,202,270,56,63,69,78
ENSG00000116138.13,722,659,580,668,74,84,80,88
ENSG00000116771.6,76,50,52,53,16,13,23,15
ENSG00000237301.1,0,0,2,1,2,2,1,4
ENSG00000235084.3,20,18,8,18,5,5,1,5
ENSG00000236500.1,0,1,0,0,0,0,1,0
ENSG00000197312.12,1018,897,838,906,270,224,248,301
ENSG00000215695.2,1,1,1,1,2,1,1,0
ENSG00000271742.1,0,0,0,0,0,0,0,1
ENSG00000116786.13,4312,4348,3282,3994,3670,3023,3354,3691
ENSG00000237938.5,27,28,24,24,16,8,15,16
ENSG00000162461.8,34,39,27,27,4,5,11,8
ENSG00000162460.7,1,0,0,0,0,0,0,0
ENSG00000162458.13,68,55,43,52,121,121,128,146
ENSG00000224321.1,10,14,1,10,7,11,2,8
ENSG00000233954.6,67,70,58,79,54,37,46,36
ENSG00000178715.8,22,41,29,20,7,11,17,4
ENSG00000179743.4,43,42,26,42,19,18,26,25
ENSG00000065526.12,3431,3136,2794,3384,1303,1038,1176,1374
ENSG00000270620.1,0,0,0,1,0,0,0,0
ENSG00000116809.12,1170,1107,829,1000,469,454,479,546
ENSG00000234607.2,0,0,0,0,0,0,0,0
ENSG00000275503.1,0,0,0,0,0,0,1,0
ENSG00000183888.4,0,0,0,0,2,1,1,1
ENSG00000173641.18,63,57,51,60,293,248,274,360
ENSG00000186510.12,15,14,12,11,1,1,1,2
ENSG00000184908.20,1,0,0,0,3,1,2,1
ENSG00000185519.9,0,0,0,0,0,0,1,2
ENSG00000142627.13,7,9,3,10,31,17,30,35
ENSG00000227959.2,0,1,0,0,0,1,7,2
ENSG00000224621.1,0,1,0,0,0,0,1,0
ENSG00000142632.17,154,137,85,120,25,17,28,21
ENSG00000237276.9,183,160,101,114,3,0,0,0
ENSG00000288398.1,67,45,39,60,12,12,17,8
ENSG00000132881.12,36,38,23,30,3,8,7,8
ENSG00000233929.1,4,4,1,1,1,4,4,2
ENSG00000037637.11,1042,985,765,936,428,341,367,480
ENSG00000055070.17,2560,2484,1919,2362,1901,1779,1886,1955
ENSG00000226457.1,4,6,4,2,3,1,3,3
ENSG00000187144.11,1,1,1,2,2,2,2,2
ENSG00000157191.20,2431,2452,1933,2261,580,552,556,640
ENSG00000226029.1,13,6,13,8,6,3,2,5
ENSG00000080947.15,24,32,35,41,6,1,4,4
ENSG00000261135.1,2,0,0,0,1,0,0,0
ENSG00000233421.5,0,1,0,0,1,0,0,0
ENSG00000225710.1,0,0,0,1,0,0,0,0
ENSG00000219481.11,137,119,93,143,30,34,29,25
ENSG00000271732.1,2,0,0,0,0,0,0,0
ENSG00000215908.10,427,468,318,418,76,66,78,73
ENSG00000186301.8,22,12,9,9,0,1,0,0
ENSG00000280114.1,1,0,0,0,0,0,0,0
ENSG00000236698.1,14,11,13,23,8,7,6,9
ENSG00000268869.6,0,0,0,0,0,1,1,0
ENSG00000279151.1,0,0,0,0,2,5,2,2
ENSG00000282740.1,0,0,0,0,1,0,0,0
ENSG00000058453.17,169,167,128,169,25,19,27,38
ENSG00000227684.2,0,0,0,1,0,0,0,0
ENSG00000186715.11,12,7,3,8,0,1,1,0
ENSG00000223643.6,0,0,0,0,0,0,1,0
ENSG00000228549.5,0,0,0,0,0,0,2,0
ENSG00000238142.3,8,5,4,7,3,2,2,3
ENSG00000272426.1,0,0,0,0,0,0,1,1
ENSG00000117122.14,0,0,0,0,0,0,4,1
ENSG00000159363.19,193,228,131,199,100,93,113,132
ENSG00000117118.10,1258,1223,938,1073,1020,1095,972,1129
ENSG00000117115.13,20,31,11,30,13,11,16,17
ENSG00000204362.6,0,0,0,0,0,1,0,0
ENSG00000142623.11,0,0,0,1,1,0,2,2
ENSG00000142619.4,0,0,0,0,0,1,1,1
ENSG00000266634.1,0,0,0,0,1,0,1,0
ENSG00000159339.13,0,0,0,0,0,0,2,0
ENSG00000276747.1,0,1,0,0,0,0,1,0
ENSG00000179051.14,3789,3532,2862,3469,397,405,361,520
ENSG00000074964.17,1754,1727,1187,1523,76,37,76,72
ENSG00000117148.8,0,2,0,0,0,0,1,0
ENSG00000284653.1,0,0,0,0,0,0,1,0
ENSG00000280222.1,0,0,0,0,1,0,4,0
ENSG00000179023.9,0,0,0,0,0,0,0,1
ENSG00000235282.3,0,2,0,0,1,0,0,0
ENSG00000225478.2,0,0,0,0,0,0,0,1
ENSG00000009709.12,0,0,0,0,0,1,0,2
ENSG00000179002.5,0,0,0,0,1,1,0,2
ENSG00000159423.17,134,132,102,106,58,66,50,55
ENSG00000169991.11,499,462,401,475,269,217,212,259
ENSG00000272084.1,8,6,3,8,2,4,3,4
ENSG00000127481.15,10599,9581,8214,9804,2279,2136,2234,2468
ENSG00000230424.2,7,11,5,0,6,5,4,1
ENSG00000127463.16,1860,1861,1410,1676,784,773,810,912
ENSG00000053372.5,1310,1072,939,1052,311,291,298,349
ENSG00000286064.1,22,21,24,18,10,7,9,16
ENSG00000211454.16,4,7,6,8,3,1,1,3
